Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
339	1	-324.3222	0	-324.3222	1.723953	77.9548
340	0	-280.4996	0	-280.4996	2.448067	56.27488
341	1	-354.3298	0	-354.3298	1.690171	95.69038
342	0	-283.3501	0	-283.3501	2.259848	57.46079
343	1	-317.1389	0	-317.1389	1.746594	73.83747
344	0	-284.0697	0	-284.0697	2.291472	57.79776
345	1	-325.8637	0	-325.8637	1.916726	78.36447
346	0	-245.5217	0	-245.5217	2.769998	43.1052
347	1	-309.1957	0	-309.1957	1.830983	69.56589
348	0	-269.9068	0	-269.9068	3.056954	51.3702
349	1	-298.2446	0	-298.2446	1.921726	63.97104
350	0	-253.1521	0	-253.1521	3.116265	45.84462
351	1	-292.9884	0	-292.9884	2.330087	61.63247
352	0	-278.5242	0	-278.5242	2.661868	55.24317
353	1	-277.8741	0	-277.8741	2.449026	55.2023
354	0	-263.8049	0	-263.8049	3.018818	49.43898
355	1	-301.758	0	-301.758	2.231193	65.67946
356	0	-246.6554	0	-246.6554	3.208004	43.72367
357	1	-317.8604	0	-317.8604	1.566388	73.43057
358	0	-267.2264	0	-267.2264	2.412099	50.78585
359	1	-296.8202	0	-296.8202	1.887715	63.09564
360	0	-259.2144	0	-259.2144	2.579985	47.88343
361	1	-295.9272	0	-295.9272	2.07882	63.10977
362	0	-229.2178	0	-229.2178	3.568179	38.42884
363	1	-301.8188	0	-301.8188	2.248258	65.66394
364	0	-260.8754	0	-260.8754	2.734135	48.64533
365	1	-327.5019	0	-327.5019	1.701146	79.81491
366	0	-269.2818	0	-269.2818	3.060513	51.15734
367	1	-309.7278	0	-309.7278	1.80804	69.80396
368	0	-254.8907	0	-254.8907	2.477437	45.91837
369	1	-298.7397	0	-298.7397	2.028213	64.43568
370	0	-247.5192	0	-247.5192	3.159586	44.02038
371	1	-312.472	0	-312.472	1.929978	71.3682
372	0	-289.8801	0	-289.8801	2.371751	60.24451
373	1	-308.1601	0	-308.1601	2.298027	68.28325
374	0	-337.6016	0	-337.6016	1.571589	86.03294
375	1	-294.3106	0	-294.3106	2.359812	62.13907
376	0	-341.3719	0	-341.3719	1.428488	88.28829
377	1	-293.1821	0	-293.1821	2.174868	61.85533
378	0	-292.2707	0	-292.2707	2.497069	60.95208
379	1	-287.6884	0	-287.6884	2.560164	58.97096
380	0	-295.2962	0	-295.2962	2.022556	62.7275
381	1	-321.3123	0	-321.3123	1.778998	76.22981
382	0	-255.4598	0	-255.4598	2.953265	46.71153
383	1	-322.6185	0	-322.6185	1.79554	76.94903
384	0	-272.919	0	-272.919	2.412192	53.14595
385	1	-310.5775	0	-310.5775	1.871897	70.37303
386	0	-280.98	0	-280.98	2.038768	55.7338
387	1	-323.0688	0	-323.0688	2.010073	76.51924
388	0	-285.0679	0	-285.0679	2.322201	58.23458
389	1	-328.2763	0	-328.2763	1.570018	80.09358
390	0	-234.6648	0	-234.6648	3.001707	39.75847
391	1	-341.6688	0	-341.6688	1.55351	88.64905
392	0	-123.6588	0	-123.6588	7.848394	17.47111
393	1	-361.9124	0	-361.9124	1.518513	102.0023
394	0	-126.9118	0	-126.9118	8.059391	17.85649
395	1	-312.1181	0	-312.1181	1.924982	71.1883
396	0	-164.2393	0	-164.2393	5.823911	23.66624
397	1	-344.0305	0	-344.0305	1.437527	90.17369
398	0	-138.7547	0	-138.7547	7.085093	19.55599
399	1	-387.1096	0	-387.1096	1.014527	123.9426
400	0	-171.5606	0	-171.5606	5.043829	24.95991
401	1	-408.9576	0	-408.9576	0.8887926	145.9889
402	0	-163.749	0	-163.749	5.724938	23.58901
403	1	-411.4047	0	-411.4047	0.8352899	148.2481
404	0	-154.3065	0	-154.3065	5.79133	21.95461
405	1	-385.4505	0	-385.4505	1.197839	122.2788
406	0	-149.2112	0	-149.2112	6.621493	21.13868
407	1	-443.9178	0	-443.9178	0.7716632	188.7609
408	0	-141.3331	0	-141.3331	6.782397	19.94879
409	1	-420.0583	0	-420.0583	1.03931	155.8197
410	0	-102.345	0	-102.345	10.23775	14.76963
411	1	-419.2791	0	-419.2791	0.8699647	157.6944
412	0	-95.80807	0	-95.80807	11.0531	14.00989
413	1	-401.0284	0	-401.0284	1.07037	137.2276
414	0	-90.13325	0	-90.13325	10.15432	13.58123
415	1	-357.678	0	-357.678	1.355042	99.8594
416	0	-84.64892	0	-84.64892	11.23001	12.98324
417	1	-361.1945	0	-361.1945	1.553531	101.2176
418	0	-65.17183	0	-65.17183	12.51232	11.24213
419	1	-355.1913	0	-355.1913	1.521559	97.55826
420	0	-48.84277	0	-48.84277	12.73133	9.946702
421	1	-301.6773	0	-301.6773	2.043254	65.88579
422	0	-55.40271	0	-55.40271	13.27291	10.45064
423	1	-306.1701	0	-306.1701	1.859818	67.99165
424	0	-41.8632	0	-41.8632	14.0881	9.444463
425	1	-300.9269	0	-300.9269	2.021629	65.51096
426	0	-27.90881	0	-27.90881	14.01186	8.44876
427	1	-279.3338	0	-279.3338	2.519959	55.75164
428	0	-26.56448	0	-26.56448	15.33721	8.40925
429	1	-255.7178	0	-255.7178	2.9306	46.80749
430	0	-43.7428	0	-43.7428	16.80021	9.414165
431	1	-204.1975	0	-204.1975	4.351409	31.88255
432	0	-13.3851	0	-13.3851	17.50861	7.609756
433	1	-212.7215	0	-212.7215	3.76818	33.95462
434	0	-5.523573	0	-5.523573	15.9613	7.091729
435	1	-202.1086	0	-202.1086	4.193655	31.40256
436	0	-39.04074	0	-39.04074	15.75356	9.203211
437	1	-225.0977	0	-225.0977	4.397885	36.62196
438	0	-52.36385	0	-52.36385	14.28628	10.17769
439	1	-231.5136	0	-231.5136	4.122213	38.52085
440	0	-107.8679	0	-107.8679	8.289608	15.51638
441	1	-236.1255	0	-236.1255	3.042296	40.3015
442	0	-124.2819	0	-124.2819	7.497486	17.55767
443	1	-246.7766	0	-246.7766	2.883536	43.71596
444	0	-118.0546	0	-118.0546	7.062256	16.62708
445	1	-245.806	0	-245.806	2.766652	43.20138
446	0	-116.4483	0	-116.4483	8.443947	16.5402
447	1	-275.7665	0	-275.7665	2.57556	54.30265
448	0	-133.1353	0	-133.1353	9.088582	18.28167
449	1	-277.788	0	-277.788	2.203914	54.86526
450	0	-162.7	0	-162.7	4.925193	23.1145
451	1	-259.6294	0	-259.6294	3.019515	48.055
452	0	-169.5658	0	-169.5658	6.312692	24.38556
453	1	-259.1442	0	-259.1442	2.992247	47.92331
454	0	-183.7481	0	-183.7481	4.038873	26.8107
455	1	-239.3685	0	-239.3685	3.319412	41.44268
456	0	-166.777	0	-166.777	5.301185	24.10343
457	1	-213.0687	0	-213.0687	4.094835	34.05562
458	0	-152.1597	0	-152.1597	5.792766	21.5843
459	1	-225.6315	0	-225.6315	3.936134	37.27274
460	0	-166.5836	0	-166.5836	6.003021	24.02588
461	1	-249.1571	0	-249.1571	3.174623	44.52875
462	0	-173.5546	0	-173.5546	5.6015	25.33845
463	1	-267.0397	0	-267.0397	2.514346	50.86727
464	0	-214.6214	0	-214.6214	3.799127	34.46714
465	1	-255.2698	0	-255.2698	3.397851	46.08911
466	0	-206.2274	0	-206.2274	4.470697	32.29722
467	1	-237.5062	0	-237.5062	3.534129	40.78
468	0	-202.865	0	-202.865	4.394971	31.56735
469	1	-278.1378	0	-278.1378	2.543631	55.257
470	0	-209.4663	0	-209.4663	3.932498	33.16498
471	1	-251.0343	0	-251.0343	3.315615	44.9622
472	0	-209.8305	0	-209.8305	3.737152	33.16592
473	1	-235.1518	0	-235.1518	3.133812	40.08479
474	0	-182.6825	0	-182.6825	5.371912	27.07738
475	1	-251.006	0	-251.006	2.990374	45.20372
476	0	-206.4461	0	-206.4461	4.129152	32.43991
477	1	-183.8115	0	-183.8115	4.793239	27.39589
478	0	-225.8557	0	-225.8557	3.339281	37.38955
479	1	-225.2758	0	-225.2758	3.168882	36.99649
480	0	-250.8018	0	-250.8018	3.0486	45.12352
481	1	-261.364	0	-261.364	2.703462	48.81688
482	0	-261.4117	0	-261.4117	3.072433	48.56737
483	1	-278.2153	0	-278.2153	2.450088	55.34141
484	0	-277.6115	0	-277.6115	2.616356	54.96891
485	1	-306.6722	0	-306.6722	1.839153	68.2107
486	0	-273.1897	0	-273.1897	2.583677	53.29852
487	1	-260.5495	0	-260.5495	2.996478	48.38803
488	0	-302.6091	0	-302.6091	2.33107	65.75798
489	1	-249.4284	0	-249.4284	3.061267	44.6702
490	0	-272.9081	0	-272.9081	2.579413	53.19135
491	1	-194.4365	0	-194.4365	4.508576	29.6616
492	0	-246.1559	0	-246.1559	3.563491	43.18309
493	1	-228.2416	0	-228.2416	2.969143	37.53744
494	0	-203.7235	0	-203.7235	4.012969	31.74631
